Rainfall - (MM), Year, Statistics, Country
55.7448,1901, Jan Average, Afghanistan
13.948,1901, Feb Average, Afghanistan
43.8464,1901, Mar Average, Afghanistan
26.961,1901, Apr Average, Afghanistan
52.9579,1901, May Average, Afghanistan
16.6465,1901, Jun Average, Afghanistan
7.38656,1901, Jul Average, Afghanistan
0.59306,1901, Aug Average, Afghanistan
4.82593,1901, Sep Average, Afghanistan
11.4972,1901, Oct Average, Afghanistan
8.61022,1901, Nov Average, Afghanistan
7.90607,1901, Dec Average, Afghanistan
24.1121,1902, Jan Average, Afghanistan
20.8288,1902, Feb Average, Afghanistan
41.8576,1902, Mar Average, Afghanistan
29.9279,1902, Apr Average, Afghanistan
8.98336,1902, May Average, Afghanistan
5.35169,1902, Jun Average, Afghanistan
3.15428,1902, Jul Average, Afghanistan
1.11072,1902, Aug Average, Afghanistan
2.2639,1902, Sep Average, Afghanistan
19.8042,1902, Oct Average, Afghanistan
43.1489,1902, Nov Average, Afghanistan
18.7537,1902, Dec Average, Afghanistan
49.3334,1903, Jan Average, Afghanistan
45.6953,1903, Feb Average, Afghanistan
69.7291,1903, Mar Average, Afghanistan
33.0954,1903, Apr Average, Afghanistan
60.6917,1903, May Average, Afghanistan
7.62944,1903, Jun Average, Afghanistan
5.63623,1903, Jul Average, Afghanistan
4.65012,1903, Aug Average, Afghanistan
7.45214,1903, Sep Average, Afghanistan
0.8791,1903, Oct Average, Afghanistan
9.91327,1903, Nov Average, Afghanistan
19.8138,1903, Dec Average, Afghanistan
67.9221,1904, Jan Average, Afghanistan
23.6132,1904, Feb Average, Afghanistan
80.0829,1904, Mar Average, Afghanistan
26.0583,1904, Apr Average, Afghanistan
29.9485,1904, May Average, Afghanistan
0.65549,1904, Jun Average, Afghanistan
3.95575,1904, Jul Average, Afghanistan
3.1932,1904, Aug Average, Afghanistan
10.454,1904, Sep Average, Afghanistan
16.7642,1904, Oct Average, Afghanistan
17.9043,1904, Nov Average, Afghanistan
18.2342,1904, Dec Average, Afghanistan
65.5861,1905, Jan Average, Afghanistan
32.616,1905, Feb Average, Afghanistan
64.7628,1905, Mar Average, Afghanistan
27.6942,1905, Apr Average, Afghanistan
19.1447,1905, May Average, Afghanistan
5.04219,1905, Jun Average, Afghanistan
1.58474,1905, Jul Average, Afghanistan
1.03713,1905, Aug Average, Afghanistan
6.96228,1905, Sep Average, Afghanistan
1.07818,1905, Oct Average, Afghanistan
3.42445,1905, Nov Average, Afghanistan
41.2052,1905, Dec Average, Afghanistan
21.4617,1906, Jan Average, Afghanistan
96.1208,1906, Feb Average, Afghanistan
51.8554,1906, Mar Average, Afghanistan
43.2336,1906, Apr Average, Afghanistan
18.4308,1906, May Average, Afghanistan
4.62089,1906, Jun Average, Afghanistan
4.62117,1906, Jul Average, Afghanistan
5.87336,1906, Aug Average, Afghanistan
3.08521,1906, Sep Average, Afghanistan
3.47906,1906, Oct Average, Afghanistan
5.81417,1906, Nov Average, Afghanistan
33.0802,1906, Dec Average, Afghanistan
51.3601,1907, Jan Average, Afghanistan
49.8828,1907, Feb Average, Afghanistan
41.55,1907, Mar Average, Afghanistan
56.4171,1907, Apr Average, Afghanistan
32.2363,1907, May Average, Afghanistan
13.1965,1907, Jun Average, Afghanistan
6.88764,1907, Jul Average, Afghanistan
4.17896,1907, Aug Average, Afghanistan
3.42643,1907, Sep Average, Afghanistan
14.6192,1907, Oct Average, Afghanistan
7.99659,1907, Nov Average, Afghanistan
4.84096,1907, Dec Average, Afghanistan
80.3858,1908, Jan Average, Afghanistan
37.6062,1908, Feb Average, Afghanistan
48.7997,1908, Mar Average, Afghanistan
79.586,1908, Apr Average, Afghanistan
13.8888,1908, May Average, Afghanistan
4.17761,1908, Jun Average, Afghanistan
9.28017,1908, Jul Average, Afghanistan
7.96612,1908, Aug Average, Afghanistan
6.8751,1908, Sep Average, Afghanistan
2.85977,1908, Oct Average, Afghanistan
1.30171,1908, Nov Average, Afghanistan
39.3343,1908, Dec Average, Afghanistan
33.3713,1909, Jan Average, Afghanistan
57.0135,1909, Feb Average, Afghanistan
47.2142,1909, Mar Average, Afghanistan
63.6401,1909, Apr Average, Afghanistan
24.3855,1909, May Average, Afghanistan
6.6878,1909, Jun Average, Afghanistan
14.8759,1909, Jul Average, Afghanistan
1.54623,1909, Aug Average, Afghanistan
3.40075,1909, Sep Average, Afghanistan
5.32157,1909, Oct Average, Afghanistan
3.92673,1909, Nov Average, Afghanistan
40.6712,1909, Dec Average, Afghanistan
84.1007,1910, Jan Average, Afghanistan
33.0929,1910, Feb Average, Afghanistan
59.604,1910, Mar Average, Afghanistan
33.4674,1910, Apr Average, Afghanistan
17.443,1910, May Average, Afghanistan
4.64161,1910, Jun Average, Afghanistan
15.9478,1910, Jul Average, Afghanistan
19.3898,1910, Aug Average, Afghanistan
0.98545,1910, Sep Average, Afghanistan
1.54956,1910, Oct Average, Afghanistan
1.60143,1910, Nov Average, Afghanistan
20.7147,1910, Dec Average, Afghanistan
81.7582,1911, Jan Average, Afghanistan
33.2795,1911, Feb Average, Afghanistan
93.9092,1911, Mar Average, Afghanistan
30.6049,1911, Apr Average, Afghanistan
29.269,1911, May Average, Afghanistan
1.66792,1911, Jun Average, Afghanistan
0.85061,1911, Jul Average, Afghanistan
0.52687,1911, Aug Average, Afghanistan
1.27605,1911, Sep Average, Afghanistan
5.76539,1911, Oct Average, Afghanistan
13.1378,1911, Nov Average, Afghanistan
19.3229,1911, Dec Average, Afghanistan
66.017,1912, Jan Average, Afghanistan
33.4554,1912, Feb Average, Afghanistan
48.7584,1912, Mar Average, Afghanistan
53.7615,1912, Apr Average, Afghanistan
22.857,1912, May Average, Afghanistan
6.87415,1912, Jun Average, Afghanistan
4.774,1912, Jul Average, Afghanistan
5.99133,1912, Aug Average, Afghanistan
9.66359,1912, Sep Average, Afghanistan
4.73237,1912, Oct Average, Afghanistan
6.10278,1912, Nov Average, Afghanistan
38.3154,1912, Dec Average, Afghanistan
33.331,1913, Jan Average, Afghanistan
49.2776,1913, Feb Average, Afghanistan
29.8131,1913, Mar Average, Afghanistan
35.2728,1913, Apr Average, Afghanistan
15.9955,1913, May Average, Afghanistan
5.64514,1913, Jun Average, Afghanistan
2.79316,1913, Jul Average, Afghanistan
5.7752,1913, Aug Average, Afghanistan
4.07352,1913, Sep Average, Afghanistan
18.5193,1913, Oct Average, Afghanistan
18.4011,1913, Nov Average, Afghanistan
52.3384,1913, Dec Average, Afghanistan
36.0808,1914, Jan Average, Afghanistan
64.9747,1914, Feb Average, Afghanistan
57.3971,1914, Mar Average, Afghanistan
70.8684,1914, Apr Average, Afghanistan
12.2636,1914, May Average, Afghanistan
12.6816,1914, Jun Average, Afghanistan
20.7016,1914, Jul Average, Afghanistan
3.5196,1914, Aug Average, Afghanistan
7.92802,1914, Sep Average, Afghanistan
32.8543,1914, Oct Average, Afghanistan
47.0632,1914, Nov Average, Afghanistan
16.8143,1914, Dec Average, Afghanistan
2.35124,1915, Jan Average, Afghanistan
48.8026,1915, Feb Average, Afghanistan
49.0669,1915, Mar Average, Afghanistan
122.319,1915, Apr Average, Afghanistan
5.62109,1915, May Average, Afghanistan
4.82275,1915, Jun Average, Afghanistan
7.50787,1915, Jul Average, Afghanistan
0.6063,1915, Aug Average, Afghanistan
3.33097,1915, Sep Average, Afghanistan
3.878,1915, Oct Average, Afghanistan
1.90754,1915, Nov Average, Afghanistan
14.1418,1915, Dec Average, Afghanistan
60.8339,1916, Jan Average, Afghanistan
29.4013,1916, Feb Average, Afghanistan
63.7392,1916, Mar Average, Afghanistan
79.5083,1916, Apr Average, Afghanistan
24.6421,1916, May Average, Afghanistan
5.16555,1916, Jun Average, Afghanistan
3.00767,1916, Jul Average, Afghanistan
30.4777,1916, Aug Average, Afghanistan
3.70389,1916, Sep Average, Afghanistan
1.65727,1916, Oct Average, Afghanistan
0.53176,1916, Nov Average, Afghanistan
3.84999,1916, Dec Average, Afghanistan
28.4949,1917, Jan Average, Afghanistan
19.6124,1917, Feb Average, Afghanistan
49.1161,1917, Mar Average, Afghanistan
4.05525,1917, Apr Average, Afghanistan
9.60672,1917, May Average, Afghanistan
2.89983,1917, Jun Average, Afghanistan
1.36646,1917, Jul Average, Afghanistan
15.1365,1917, Aug Average, Afghanistan
12.629,1917, Sep Average, Afghanistan
4.46263,1917, Oct Average, Afghanistan
0.90427,1917, Nov Average, Afghanistan
16.8932,1917, Dec Average, Afghanistan
23.3096,1918, Jan Average, Afghanistan
39.1442,1918, Feb Average, Afghanistan
94.1561,1918, Mar Average, Afghanistan
42.2803,1918, Apr Average, Afghanistan
7.55001,1918, May Average, Afghanistan
7.08868,1918, Jun Average, Afghanistan
1.83434,1918, Jul Average, Afghanistan
1.97433,1918, Aug Average, Afghanistan
3.97755,1918, Sep Average, Afghanistan
4.25768,1918, Oct Average, Afghanistan
11.5448,1918, Nov Average, Afghanistan
44.172,1918, Dec Average, Afghanistan
48.8961,1919, Jan Average, Afghanistan
42.0995,1919, Feb Average, Afghanistan
49.3627,1919, Mar Average, Afghanistan
36.5233,1919, Apr Average, Afghanistan
18.204,1919, May Average, Afghanistan
1.65191,1919, Jun Average, Afghanistan
5.18731,1919, Jul Average, Afghanistan
17.3509,1919, Aug Average, Afghanistan
2.49563,1919, Sep Average, Afghanistan
1.8505,1919, Oct Average, Afghanistan
3.57049,1919, Nov Average, Afghanistan
75.2222,1919, Dec Average, Afghanistan
66.7623,1920, Jan Average, Afghanistan
50.6026,1920, Feb Average, Afghanistan
65.4392,1920, Mar Average, Afghanistan
35.9958,1920, Apr Average, Afghanistan
20.5726,1920, May Average, Afghanistan
5.23054,1920, Jun Average, Afghanistan
1.92316,1920, Jul Average, Afghanistan
1.04309,1920, Aug Average, Afghanistan
3.41758,1920, Sep Average, Afghanistan
5.193,1920, Oct Average, Afghanistan
14.5488,1920, Nov Average, Afghanistan
13.2254,1920, Dec Average, Afghanistan
21.5299,1921, Jan Average, Afghanistan
22.8465,1921, Feb Average, Afghanistan
45.5412,1921, Mar Average, Afghanistan
37.7969,1921, Apr Average, Afghanistan
9.29067,1921, May Average, Afghanistan
5.08164,1921, Jun Average, Afghanistan
5.55215,1921, Jul Average, Afghanistan
12.3174,1921, Aug Average, Afghanistan
0.54273,1921, Sep Average, Afghanistan
7.64369,1921, Oct Average, Afghanistan
14.6059,1921, Nov Average, Afghanistan
67.8731,1921, Dec Average, Afghanistan
38.8563,1922, Jan Average, Afghanistan
78.2993,1922, Feb Average, Afghanistan
53.9466,1922, Mar Average, Afghanistan
17.7391,1922, Apr Average, Afghanistan
32.4333,1922, May Average, Afghanistan
6.66615,1922, Jun Average, Afghanistan
5.86797,1922, Jul Average, Afghanistan
7.20743,1922, Aug Average, Afghanistan
8.00064,1922, Sep Average, Afghanistan
7.22036,1922, Oct Average, Afghanistan
6.30062,1922, Nov Average, Afghanistan
24.9874,1922, Dec Average, Afghanistan
57.6665,1923, Jan Average, Afghanistan
69.3017,1923, Feb Average, Afghanistan
65.558,1923, Mar Average, Afghanistan
57.279,1923, Apr Average, Afghanistan
25.7053,1923, May Average, Afghanistan
2.91109,1923, Jun Average, Afghanistan
1.80774,1923, Jul Average, Afghanistan
15.2484,1923, Aug Average, Afghanistan
3.43594,1923, Sep Average, Afghanistan
23.5604,1923, Oct Average, Afghanistan
3.29739,1923, Nov Average, Afghanistan
8.9824,1923, Dec Average, Afghanistan
47.5914,1924, Jan Average, Afghanistan
87.0205,1924, Feb Average, Afghanistan
42.8792,1924, Mar Average, Afghanistan
89.1158,1924, Apr Average, Afghanistan
49.5405,1924, May Average, Afghanistan
2.30413,1924, Jun Average, Afghanistan
6.69258,1924, Jul Average, Afghanistan
1.87248,1924, Aug Average, Afghanistan
12.6671,1924, Sep Average, Afghanistan
3.2392,1924, Oct Average, Afghanistan
10.2338,1924, Nov Average, Afghanistan
71.1498,1924, Dec Average, Afghanistan
28.7752,1925, Jan Average, Afghanistan
28.7694,1925, Feb Average, Afghanistan
23.85,1925, Mar Average, Afghanistan
22.9276,1925, Apr Average, Afghanistan
30.0979,1925, May Average, Afghanistan
0.46297,1925, Jun Average, Afghanistan
11.746,1925, Jul Average, Afghanistan
4.88045,1925, Aug Average, Afghanistan
7.22729,1925, Sep Average, Afghanistan
29.7706,1925, Oct Average, Afghanistan
17.1549,1925, Nov Average, Afghanistan
1.49003,1925, Dec Average, Afghanistan
40.4897,1926, Jan Average, Afghanistan
48.8849,1926, Feb Average, Afghanistan
83.5702,1926, Mar Average, Afghanistan
63.6852,1926, Apr Average, Afghanistan
15.5987,1926, May Average, Afghanistan
7.07444,1926, Jun Average, Afghanistan
2.52629,1926, Jul Average, Afghanistan
8.29221,1926, Aug Average, Afghanistan
8.73332,1926, Sep Average, Afghanistan
0.83535,1926, Oct Average, Afghanistan
7.55979,1926, Nov Average, Afghanistan
31.0424,1926, Dec Average, Afghanistan
25.4298,1927, Jan Average, Afghanistan
34.5865,1927, Feb Average, Afghanistan
33.6382,1927, Mar Average, Afghanistan
32.1606,1927, Apr Average, Afghanistan
10.9333,1927, May Average, Afghanistan
1.36323,1927, Jun Average, Afghanistan
6.16305,1927, Jul Average, Afghanistan
2.06645,1927, Aug Average, Afghanistan
4.048,1927, Sep Average, Afghanistan
0.64995,1927, Oct Average, Afghanistan
8.16019,1927, Nov Average, Afghanistan
62.8017,1927, Dec Average, Afghanistan
41.0423,1928, Jan Average, Afghanistan
55.5036,1928, Feb Average, Afghanistan
45.5559,1928, Mar Average, Afghanistan
24.2839,1928, Apr Average, Afghanistan
10.1035,1928, May Average, Afghanistan
3.14576,1928, Jun Average, Afghanistan
2.50666,1928, Jul Average, Afghanistan
3.14453,1928, Aug Average, Afghanistan
2.53167,1928, Sep Average, Afghanistan
0.71355,1928, Oct Average, Afghanistan
16.4335,1928, Nov Average, Afghanistan
45.1833,1928, Dec Average, Afghanistan
42.5451,1929, Jan Average, Afghanistan
79.7581,1929, Feb Average, Afghanistan
28.9658,1929, Mar Average, Afghanistan
20.2878,1929, Apr Average, Afghanistan
8.85808,1929, May Average, Afghanistan
3.23088,1929, Jun Average, Afghanistan
28.5373,1929, Jul Average, Afghanistan
10.759,1929, Aug Average, Afghanistan
0.44239,1929, Sep Average, Afghanistan
3.86201,1929, Oct Average, Afghanistan
