Rainfall - (MM), Year, Statistics, Country
90.3524,1972, Mar Average, Afghanistan
50.1083,1972, Apr Average, Afghanistan
41.4901,1972, May Average, Afghanistan
10.7987,1972, Jun Average, Afghanistan
6.53292,1972, Jul Average, Afghanistan
2.778,1972, Aug Average, Afghanistan
4.77673,1972, Sep Average, Afghanistan
5.68214,1972, Oct Average, Afghanistan
17.6139,1972, Nov Average, Afghanistan
51.0976,1972, Dec Average, Afghanistan
32.9926,1973, Jan Average, Afghanistan
48.04,1973, Feb Average, Afghanistan
77.8935,1973, Mar Average, Afghanistan
39.5368,1973, Apr Average, Afghanistan
17.04,1973, May Average, Afghanistan
1.00658,1973, Jun Average, Afghanistan
13.4236,1973, Jul Average, Afghanistan
3.28451,1973, Aug Average, Afghanistan
7.43433,1973, Sep Average, Afghanistan
1.70489,1973, Oct Average, Afghanistan
2.55751,1973, Nov Average, Afghanistan
19.0754,1973, Dec Average, Afghanistan
65.812,1974, Jan Average, Afghanistan
65.9808,1974, Feb Average, Afghanistan
34.5838,1974, Mar Average, Afghanistan
42.9264,1974, Apr Average, Afghanistan
17.4523,1974, May Average, Afghanistan
4.27253,1974, Jun Average, Afghanistan
4.53182,1974, Jul Average, Afghanistan
5.12411,1974, Aug Average, Afghanistan
5.00808,1974, Sep Average, Afghanistan
0.65106,1974, Oct Average, Afghanistan
3.94478,1974, Nov Average, Afghanistan
43.9922,1974, Dec Average, Afghanistan
52.6635,1975, Jan Average, Afghanistan
43.6377,1975, Feb Average, Afghanistan
57.9028,1975, Mar Average, Afghanistan
57.3642,1975, Apr Average, Afghanistan
30.9983,1975, May Average, Afghanistan
4.51833,1975, Jun Average, Afghanistan
7.50024,1975, Jul Average, Afghanistan
10.6468,1975, Aug Average, Afghanistan
3.35067,1975, Sep Average, Afghanistan
5.7013,1975, Oct Average, Afghanistan
16.5874,1975, Nov Average, Afghanistan
29.1012,1975, Dec Average, Afghanistan
38.1711,1976, Jan Average, Afghanistan
88.2512,1976, Feb Average, Afghanistan
92.7221,1976, Mar Average, Afghanistan
69.4147,1976, Apr Average, Afghanistan
19.0391,1976, May Average, Afghanistan
3.81541,1976, Jun Average, Afghanistan
9.79906,1976, Jul Average, Afghanistan
8.24522,1976, Aug Average, Afghanistan
3.49679,1976, Sep Average, Afghanistan
12.6765,1976, Oct Average, Afghanistan
4.03248,1976, Nov Average, Afghanistan
16.2765,1976, Dec Average, Afghanistan
93.5789,1977, Jan Average, Afghanistan
12.161,1977, Feb Average, Afghanistan
15.529,1977, Mar Average, Afghanistan
51.0495,1977, Apr Average, Afghanistan
17.9604,1977, May Average, Afghanistan
5.37608,1977, Jun Average, Afghanistan
10.4256,1977, Jul Average, Afghanistan
7.24279,1977, Aug Average, Afghanistan
3.50564,1977, Sep Average, Afghanistan
15.2265,1977, Oct Average, Afghanistan
27.6814,1977, Nov Average, Afghanistan
31.2283,1977, Dec Average, Afghanistan
49.7086,1978, Jan Average, Afghanistan
37.8349,1978, Feb Average, Afghanistan
59.6241,1978, Mar Average, Afghanistan
29.0816,1978, Apr Average, Afghanistan
25.8028,1978, May Average, Afghanistan
2.76433,1978, Jun Average, Afghanistan
12.1805,1978, Jul Average, Afghanistan
4.86162,1978, Aug Average, Afghanistan
2.05848,1978, Sep Average, Afghanistan
2.04893,1978, Oct Average, Afghanistan
35.9922,1978, Nov Average, Afghanistan
19.7067,1978, Dec Average, Afghanistan
49.807,1979, Jan Average, Afghanistan
56.602,1979, Feb Average, Afghanistan
66.7123,1979, Mar Average, Afghanistan
37.4711,1979, Apr Average, Afghanistan
37.2553,1979, May Average, Afghanistan
3.47934,1979, Jun Average, Afghanistan
3.21058,1979, Jul Average, Afghanistan
12.8723,1979, Aug Average, Afghanistan
2.76204,1979, Sep Average, Afghanistan
4.91336,1979, Oct Average, Afghanistan
9.50174,1979, Nov Average, Afghanistan
39.1896,1979, Dec Average, Afghanistan
60.0558,1980, Jan Average, Afghanistan
70.9349,1980, Feb Average, Afghanistan
104.352,1980, Mar Average, Afghanistan
24.2473,1980, Apr Average, Afghanistan
12.3273,1980, May Average, Afghanistan
7.30634,1980, Jun Average, Afghanistan
7.34302,1980, Jul Average, Afghanistan
11.1383,1980, Aug Average, Afghanistan
2.16893,1980, Sep Average, Afghanistan
17.2734,1980, Oct Average, Afghanistan
13.9476,1980, Nov Average, Afghanistan
16.6477,1980, Dec Average, Afghanistan
57.5693,1981, Jan Average, Afghanistan
67.1286,1981, Feb Average, Afghanistan
75.3125,1981, Mar Average, Afghanistan
52.7749,1981, Apr Average, Afghanistan
23.1442,1981, May Average, Afghanistan
2.95365,1981, Jun Average, Afghanistan
14.0967,1981, Jul Average, Afghanistan
5.21353,1981, Aug Average, Afghanistan
1.95912,1981, Sep Average, Afghanistan
19.633,1981, Oct Average, Afghanistan
7.91283,1981, Nov Average, Afghanistan
24.889,1981, Dec Average, Afghanistan
51.1561,1982, Jan Average, Afghanistan
80.5802,1982, Feb Average, Afghanistan
108.327,1982, Mar Average, Afghanistan
18.8583,1982, Apr Average, Afghanistan
22.6394,1982, May Average, Afghanistan
3.7282,1982, Jun Average, Afghanistan
3.18596,1982, Jul Average, Afghanistan
8.57319,1982, Aug Average, Afghanistan
2.40471,1982, Sep Average, Afghanistan
23.5018,1982, Oct Average, Afghanistan
54.8565,1982, Nov Average, Afghanistan
43.1225,1982, Dec Average, Afghanistan
35.8616,1983, Jan Average, Afghanistan
38.2936,1983, Feb Average, Afghanistan
70.0305,1983, Mar Average, Afghanistan
71.252,1983, Apr Average, Afghanistan
33.0374,1983, May Average, Afghanistan
6.52984,1983, Jun Average, Afghanistan
7.99421,1983, Jul Average, Afghanistan
12.1401,1983, Aug Average, Afghanistan
3.04832,1983, Sep Average, Afghanistan
1.2592,1983, Oct Average, Afghanistan
3.61376,1983, Nov Average, Afghanistan
25.4675,1983, Dec Average, Afghanistan
20.5916,1984, Jan Average, Afghanistan
35.7094,1984, Feb Average, Afghanistan
59.1801,1984, Mar Average, Afghanistan
31.9508,1984, Apr Average, Afghanistan
13.0218,1984, May Average, Afghanistan
4.02911,1984, Jun Average, Afghanistan
9.06289,1984, Jul Average, Afghanistan
7.70971,1984, Aug Average, Afghanistan
2.79711,1984, Sep Average, Afghanistan
9.76315,1984, Oct Average, Afghanistan
16.2739,1984, Nov Average, Afghanistan
45.4783,1984, Dec Average, Afghanistan
52.0363,1985, Jan Average, Afghanistan
15.1958,1985, Feb Average, Afghanistan
32.1617,1985, Mar Average, Afghanistan
38.5535,1985, Apr Average, Afghanistan
16.9093,1985, May Average, Afghanistan
2.17373,1985, Jun Average, Afghanistan
4.32846,1985, Jul Average, Afghanistan
6.51252,1985, Aug Average, Afghanistan
0.44999,1985, Sep Average, Afghanistan
5.33601,1985, Oct Average, Afghanistan
3.71184,1985, Nov Average, Afghanistan
45.1981,1985, Dec Average, Afghanistan
13.4697,1986, Jan Average, Afghanistan
47.0601,1986, Feb Average, Afghanistan
79.0876,1986, Mar Average, Afghanistan
30.3283,1986, Apr Average, Afghanistan
23.6439,1986, May Average, Afghanistan
6.38603,1986, Jun Average, Afghanistan
8.49821,1986, Jul Average, Afghanistan
15.3037,1986, Aug Average, Afghanistan
3.16453,1986, Sep Average, Afghanistan
4.12749,1986, Oct Average, Afghanistan
29.4789,1986, Nov Average, Afghanistan
49.0178,1986, Dec Average, Afghanistan
6.43416,1987, Jan Average, Afghanistan
36.1898,1987, Feb Average, Afghanistan
103.859,1987, Mar Average, Afghanistan
43.593,1987, Apr Average, Afghanistan
24.39,1987, May Average, Afghanistan
15.006,1987, Jun Average, Afghanistan
5.62056,1987, Jul Average, Afghanistan
5.03435,1987, Aug Average, Afghanistan
1.58771,1987, Sep Average, Afghanistan
39.4832,1987, Oct Average, Afghanistan
5.958,1987, Nov Average, Afghanistan
11.0689,1987, Dec Average, Afghanistan
54.1991,1988, Jan Average, Afghanistan
49.5269,1988, Feb Average, Afghanistan
105.839,1988, Mar Average, Afghanistan
27.7094,1988, Apr Average, Afghanistan
9.54718,1988, May Average, Afghanistan
5.13022,1988, Jun Average, Afghanistan
11.1778,1988, Jul Average, Afghanistan
14.5619,1988, Aug Average, Afghanistan
2.06793,1988, Sep Average, Afghanistan
2.51761,1988, Oct Average, Afghanistan
1.53939,1988, Nov Average, Afghanistan
43.2144,1988, Dec Average, Afghanistan
34.8623,1989, Jan Average, Afghanistan
41.0571,1989, Feb Average, Afghanistan
70.7037,1989, Mar Average, Afghanistan
20.8881,1989, Apr Average, Afghanistan
25.1608,1989, May Average, Afghanistan
8.77134,1989, Jun Average, Afghanistan
24.1,1989, Jul Average, Afghanistan
19.8572,1989, Aug Average, Afghanistan
8.86012,1989, Sep Average, Afghanistan
3.00183,1989, Oct Average, Afghanistan
19.7839,1989, Nov Average, Afghanistan
41.6178,1989, Dec Average, Afghanistan
81.7125,1990, Jan Average, Afghanistan
72.909,1990, Feb Average, Afghanistan
37.2999,1990, Mar Average, Afghanistan
49.8546,1990, Apr Average, Afghanistan
9.7611,1990, May Average, Afghanistan
5.87184,1990, Jun Average, Afghanistan
2.68306,1990, Jul Average, Afghanistan
24.1168,1990, Aug Average, Afghanistan
3.59338,1990, Sep Average, Afghanistan
7.50864,1990, Oct Average, Afghanistan
5.07308,1990, Nov Average, Afghanistan
62.2864,1990, Dec Average, Afghanistan
94.0868,1961, Jan Average, Albania
37.5065,1961, Feb Average, Albania
49.7381,1961, Mar Average, Albania
84.1398,1961, Apr Average, Albania
96.8979,1961, May Average, Albania
64.6569,1961, Jun Average, Albania
42.6434,1961, Jul Average, Albania
13.8875,1961, Aug Average, Albania
9.13724,1961, Sep Average, Albania
81.845,1961, Oct Average, Albania
178.262,1961, Nov Average, Albania
107.837,1961, Dec Average, Albania
60.089,1962, Jan Average, Albania
79.5721,1962, Feb Average, Albania
196.29,1962, Mar Average, Albania
88.8697,1962, Apr Average, Albania
41.0895,1962, May Average, Albania
44.2366,1962, Jun Average, Albania
30.8085,1962, Jul Average, Albania
15.2221,1962, Aug Average, Albania
64.0893,1962, Sep Average, Albania
148.48,1962, Oct Average, Albania
284.958,1962, Nov Average, Albania
151.086,1962, Dec Average, Albania
184.627,1963, Jan Average, Albania
196.644,1963, Feb Average, Albania
93.0595,1963, Mar Average, Albania
64.6766,1963, Apr Average, Albania
114.12,1963, May Average, Albania
77.8555,1963, Jun Average, Albania
27.3073,1963, Jul Average, Albania
67.039,1963, Aug Average, Albania
57.5387,1963, Sep Average, Albania
115.041,1963, Oct Average, Albania
78.4339,1963, Nov Average, Albania
150.025,1963, Dec Average, Albania
18.5241,1964, Jan Average, Albania
68.8859,1964, Feb Average, Albania
123.537,1964, Mar Average, Albania
57.3378,1964, Apr Average, Albania
119.114,1964, May Average, Albania
76.9748,1964, Jun Average, Albania
49.7526,1964, Jul Average, Albania
27.9214,1964, Aug Average, Albania
81.6216,1964, Sep Average, Albania
115.291,1964, Oct Average, Albania
143.912,1964, Nov Average, Albania
158.156,1964, Dec Average, Albania
92.9741,1965, Jan Average, Albania
114.498,1965, Feb Average, Albania
47.3036,1965, Mar Average, Albania
132.623,1965, Apr Average, Albania
55.2059,1965, May Average, Albania
37.4177,1965, Jun Average, Albania
19.253,1965, Jul Average, Albania
34.1205,1965, Aug Average, Albania
29.0614,1965, Sep Average, Albania
5.66966,1965, Oct Average, Albania
160.624,1965, Nov Average, Albania
152.666,1965, Dec Average, Albania
196.358,1966, Jan Average, Albania
63.4731,1966, Feb Average, Albania
74.6333,1966, Mar Average, Albania
46.9286,1966, Apr Average, Albania
72.5429,1966, May Average, Albania
37.9421,1966, Jun Average, Albania
52.9702,1966, Jul Average, Albania
34.1475,1966, Aug Average, Albania
48.8015,1966, Sep Average, Albania
140.938,1966, Oct Average, Albania
205.154,1966, Nov Average, Albania
171.57,1966, Dec Average, Albania
121.552,1967, Jan Average, Albania
22.7947,1967, Feb Average, Albania
36.8058,1967, Mar Average, Albania
107.985,1967, Apr Average, Albania
65.3164,1967, May Average, Albania
72.1641,1967, Jun Average, Albania
87.3263,1967, Jul Average, Albania
15.3019,1967, Aug Average, Albania
100.742,1967, Sep Average, Albania
45.7455,1967, Oct Average, Albania
53.3589,1967, Nov Average, Albania
173.281,1967, Dec Average, Albania
137.034,1968, Jan Average, Albania
80.6269,1968, Feb Average, Albania
66.0392,1968, Mar Average, Albania
22.7061,1968, Apr Average, Albania
106.842,1968, May Average, Albania
100.985,1968, Jun Average, Albania
9.69192,1968, Jul Average, Albania
97.3648,1968, Aug Average, Albania
57.0363,1968, Sep Average, Albania
48.5719,1968, Oct Average, Albania
131.026,1968, Nov Average, Albania
203.321,1968, Dec Average, Albania
102.724,1969, Jan Average, Albania
162.14,1969, Feb Average, Albania
152.349,1969, Mar Average, Albania
71.2262,1969, Apr Average, Albania
59.9071,1969, May Average, Albania
79.0931,1969, Jun Average, Albania
26.8634,1969, Jul Average, Albania
78.1772,1969, Aug Average, Albania
64.5458,1969, Sep Average, Albania
6.3541,1969, Oct Average, Albania
77.0428,1969, Nov Average, Albania
283.882,1969, Dec Average, Albania
146.538,1970, Jan Average, Albania
115.606,1970, Feb Average, Albania
94.5555,1970, Mar Average, Albania
76.9817,1970, Apr Average, Albania
88.0741,1970, May Average, Albania
34.5801,1970, Jun Average, Albania
82.533,1970, Jul Average, Albania
60.1876,1970, Aug Average, Albania
38.2495,1970, Sep Average, Albania
130.752,1970, Oct Average, Albania
76.2861,1970, Nov Average, Albania
110.232,1970, Dec Average, Albania
150.145,1971, Jan Average, Albania
109.866,1971, Feb Average, Albania
158.694,1971, Mar Average, Albania
58.0647,1971, Apr Average, Albania
61.5459,1971, May Average, Albania
47.631,1971, Jun Average, Albania
53.9541,1971, Jul Average, Albania
11.3198,1971, Aug Average, Albania
130.58,1971, Sep Average, Albania
47.5015,1971, Oct Average, Albania
97.1547,1971, Nov Average, Albania
64.4068,1971, Dec Average, Albania
127.027,1972, Jan Average, Albania
107.516,1972, Feb Average, Albania
58.202,1972, Mar Average, Albania
112.072,1972, Apr Average, Albania
51.7728,1972, May Average, Albania
24.6251,1972, Jun Average, Albania
121.407,1972, Jul Average, Albania
110.239,1972, Aug Average, Albania
112.703,1972, Sep Average, Albania
178.12,1972, Oct Average, Albania
49.9329,1972, Nov Average, Albania
51.7307,1972, Dec Average, Albania
104.125,1973, Jan Average, Albania
135.59,1973, Feb Average, Albania
109.924,1973, Mar Average, Albania
97.3318,1973, Apr Average, Albania
26.0269,1973, May Average, Albania
35.2071,1973, Jun Average, Albania
54.9863,1973, Jul Average, Albania
52.1301,1973, Aug Average, Albania
124.2,1973, Sep Average, Albania
81.4063,1973, Oct Average, Albania
95.0112,1973, Nov Average, Albania
150.726,1973, Dec Average, Albania
72.5933,1974, Jan Average, Albania
127.643,1974, Feb Average, Albania
81.376,1974, Mar Average, Albania
126.144,1974, Apr Average, Albania
108.48,1974, May Average, Albania
51.9871,1974, Jun Average, Albania
12.7998,1974, Jul Average, Albania
46.1952,1974, Aug Average, Albania
109.617,1974, Sep Average, Albania
214.604,1974, Oct Average, Albania
107.464,1974, Nov Average, Albania
53.8492,1974, Dec Average, Albania
31.9437,1975, Jan Average, Albania
48.7029,1975, Feb Average, Albania
88.1594,1975, Mar Average, Albania
36.4977,1975, Apr Average, Albania
79.2451,1975, May Average, Albania
53.4028,1975, Jun Average, Albania
34.9998,1975, Jul Average, Albania
40.7251,1975, Aug Average, Albania
25.5125,1975, Sep Average, Albania
156.514,1975, Oct Average, Albania
105.66,1975, Nov Average, Albania
63.9964,1975, Dec Average, Albania
82.5658,1976, Jan Average, Albania
72.7994,1976, Feb Average, Albania
62.775,1976, Mar Average, Albania
91.081,1976, Apr Average, Albania
97.3057,1976, May Average, Albania
92.4998,1976, Jun Average, Albania
81.2007,1976, Jul Average, Albania
55.7598,1976, Aug Average, Albania
43.2705,1976, Sep Average, Albania
145.964,1976, Oct Average, Albania
186.573,1976, Nov Average, Albania
137.347,1976, Dec Average, Albania
78.4796,1977, Jan Average, Albania
94.2531,1977, Feb Average, Albania
36.1163,1977, Mar Average, Albania
55.5315,1977, Apr Average, Albania
34.767,1977, May Average, Albania
22.8645,1977, Jun Average, Albania
28.5253,1977, Jul Average, Albania
51.1192,1977, Aug Average, Albania
88.6023,1977, Sep Average, Albania
43.4648,1977, Oct Average, Albania
137.254,1977, Nov Average, Albania
81.1209,1977, Dec Average, Albania
129.486,1978, Jan Average, Albania
107.955,1978, Feb Average, Albania
104.341,1978, Mar Average, Albania
143.575,1978, Apr Average, Albania
111.84,1978, May Average, Albania
31.7661,1978, Jun Average, Albania
11.4573,1978, Jul Average, Albania
20.7228,1978, Aug Average, Albania
127.536,1978, Sep Average, Albania
56.7079,1978, Oct Average, Albania
55.6353,1978, Nov Average, Albania
131.726,1978, Dec Average, Albania
153.204,1979, Jan Average, Albania
139.831,1979, Feb Average, Albania
69.4495,1979, Mar Average, Albania
142.572,1979, Apr Average, Albania
69.2209,1979, May Average, Albania
55.8329,1979, Jun Average, Albania
51.6225,1979, Jul Average, Albania
87.3111,1979, Aug Average, Albania
